Description,TimeZoneDescription,TimeZoneAbbreviation,BuildingCode,CurrentLocalTime,ID
Nancy O. Blackwell Alumni House,Eastern Time,ET,NBH,2017-03-10T18:04:07.853,1,
Baker Sports Complex,Eastern Time,ET,BAKER,2017-03-10T18:04:07.853,2,
Carnegie Guest House,Eastern Time,ET,CARNEGIE,2017-03-10T18:04:07.853,3,
Carolina Inn,Eastern Time,ET,CAROINN,2017-03-10T18:04:07.853,4,
Chambers,Eastern Time,ET,CHAMBERS,2017-03-10T18:04:07.853,5,
Connor House - Patterson Ct#4,Eastern Time,ET,PC04,2017-03-10T18:04:07.853,6,
ITS Jackson,Eastern Time,ET,CSCB,2017-03-10T18:04:07.853,7,
Cunningham Theatre Center,Eastern Time,ET,CUNN,2017-03-10T18:04:07.853,8,
Dana Science,Eastern Time,ET,DANA,2017-03-10T18:04:07.853,9,
Davidson College Presbyterian Church,Eastern Time,ET,DCPC,2017-03-10T18:04:07.853,10,
Davidson Depot,Eastern Time,ET,DEPOT,2017-03-10T18:04:07.853,11,
Erwin Lodge,Eastern Time,ET,ERWINLODGE,2017-03-10T18:04:07.853,12,
Eumenean Hall / Vann Center for Ethics,Eastern Time,ET,EU,2017-03-10T18:04:07.853,13,
Admissions - Grey House,Eastern Time,ET,GREY,2017-03-10T18:04:07.853,14,
Student Health Center,Eastern Time,ET,HEALTH,2017-03-10T18:04:07.853,15,
Knobloch Campus Center,Eastern Time,ET,KNOBLOCH,2017-03-10T18:04:07.853,16,
Kappa Sigma - Patterson Ct#8,Eastern Time,ET,PC08,2017-03-10T18:04:07.853,17,
E H Little Library,Eastern Time,ET,LIBRARY,2017-03-10T18:04:07.853,18,
Martin Science Building,Eastern Time,ET,MARTIN,2017-03-10T18:04:07.853,19,
Service Only Requests,Eastern Time,ET,SERVICE,2017-03-10T18:04:07.853,20,
On-Campus,Eastern Time,ET,ONCAMPUS,2017-03-10T18:04:07.853,21,
Summit Outpost,Eastern Time,ET,SUMMIT,2017-03-10T18:04:07.853,22,
Phi Delta Theta - Patterson Ct#5,Eastern Time,ET,PC05,2017-03-10T18:04:07.853,23,
Phi Gamma Delta House - Patterson Ct#3,Eastern Time,ET,PC03,2017-03-10T18:04:07.853,24,
Philanthropic Hall,Eastern Time,ET,PHI,2017-03-10T18:04:07.853,25,
Pi Kappa Alpha House - Patterson Ct#1,Eastern Time,ET,PC01,2017-03-10T18:04:07.853,26,
President s Home,Eastern Time,ET,PRESIDENT,2017-03-10T18:04:07.853,27,
Preyer,Eastern Time,ET,PREYER,2017-03-10T18:04:07.853,28,
Rusk House - Patterson Ct#11,Eastern Time,ET,PC11,2017-03-10T18:04:07.853,30,
Sigma Alpha Epsilon - Patterson Ct#6,Eastern Time,ET,PC06,2017-03-10T18:04:07.853,31,
Sloan Music Center,Eastern Time,ET,SLOAN,2017-03-10T18:04:07.853,32,
Sigma Phi Epsilon House - Patterson Ct#2,Eastern Time,ET,PC02,2017-03-10T18:04:07.853,33,
Tomlinson Residence Hall,Eastern Time,ET,TOMLINSON,2017-03-10T18:04:07.853,34,
Turner House - 119 Patterson Court Circle (PC#13),Eastern Time,ET,PC13,2017-03-10T18:04:07.853,35,
Visual Arts Center,Eastern Time,ET,VAC,2017-03-10T18:04:07.853,36,
Vail Commons,Eastern Time,ET,VAIL,2017-03-10T18:04:07.853,37,
Warner Hall - Patterson Ct#7,Eastern Time,ET,PC07,2017-03-10T18:04:07.853,38,
Watson Life Sciences Building,Eastern Time,ET,WATSON,2017-03-10T18:04:07.853,39,
WDAV Radio Station,Eastern Time,ET,WDAV,2017-03-10T18:04:07.853,40,
Residence Halls,Eastern Time,ET,RESHALL,2017-03-10T18:04:07.853,48,
Hamilton House,Eastern Time,ET,HAMILTON,2017-03-10T18:04:07.853,51,
McMillan Building,Eastern Time,ET,MCMILLAN,2017-03-10T18:04:07.853,52,
Oak Row,Eastern Time,ET,OAK,2017-03-10T18:04:07.853,53,
Off-Campus,Eastern Time,ET,Off-Campus,2017-03-10T18:04:07.853,54,
Athletic Outdoor Spaces,Eastern Time,ET,BAKER-OUT,2017-03-10T18:04:07.853,55,
Smith House - College Relations,Eastern Time,ET,SMITH,2017-03-10T18:04:07.853,56,
Kappa Alpha Order - Patterson Ct#12,Eastern Time,ET,PC12,2017-03-10T18:04:07.853,57,
Black Student Coalition House - Patterson Ct#10,Eastern Time,ET,PC10,2017-03-10T18:04:07.853,58,
ITS Main,Eastern Time,ET,ITM,2017-03-10T18:04:07.853,59,
Watts Residence Hall,Eastern Time,ET,WATTS,2017-03-10T18:04:07.853,60,
Little Residence Hall,Eastern Time,ET,Little,2017-03-10T18:04:07.853,61,
Cannon Residence Hall,Eastern Time,ET,Cannon,2017-03-10T18:04:07.853,62,
Sentelle Residence Hall,Eastern Time,ET,Sentelle,2017-03-10T18:04:07.853,63,
Duke Residence Hall,Eastern Time,ET,Duke,2017-03-10T18:04:07.853,64,
Richardson Residence Hall,Eastern Time,ET,Richardson,2017-03-10T18:04:07.853,65,
Irwin Residence Hall,Eastern Time,ET,Irwin,2017-03-10T18:04:07.853,66,
Akers Residence Hall,Eastern Time,ET,Akers,2017-03-10T18:04:07.853,67,
Knox Residence Hall,Eastern Time,ET,Knox,2017-03-10T18:04:07.853,68,
Belk Residence Hall,Eastern Time,ET,Belk,2017-03-10T18:04:07.853,69,
Flowe Apartments,Eastern Time,ET,Flowe,2017-03-10T18:04:07.853,70,
Martin Court F Apartments,Eastern Time,ET,Martin,2017-03-10T18:04:07.853,71,
Martin Court B Apartments,Eastern Time,ET,Martin,2017-03-10T18:04:07.853,72,
Jamieson Apartments,Eastern Time,ET,Jamieson,2017-03-10T18:04:07.853,73,
Ryburn Apartments,Eastern Time,ET,Ryburn,2017-03-10T18:04:07.853,74,
Hart Apartments,Eastern Time,ET,Hart,2017-03-10T18:04:07.853,75,
Lake Campus,Eastern Time,ET,LakeCampus,2017-03-10T18:04:07.853,76,
CR Vehicles and GPS Units,Eastern Time,ET,CRVG,2017-03-10T18:04:07.853,88,
On-Line Meeting Space,Eastern Time,ET,On-Line,2017-03-10T18:04:07.853,106,
CR Laptops  iPads and Projector,Eastern Time,ET,CRLP,2017-03-10T18:04:07.853,109,
Spencer-Weinstein Center for Community and Justice,Eastern Time,ET,SWC,2017-03-10T18:04:07.853,123,
Deadline,Eastern Time,ET,DLN,2017-03-10T18:04:07.853,125,
Jackson Court #10,Eastern Time,ET,JC10,2017-03-10T18:04:07.853,128,
Hood House,Eastern Time,ET,HH,2017-03-10T18:04:07.853,138,
Davis Residence Hall - Martin Court G,Eastern Time,ET,MCG,2017-03-10T18:04:07.853,142,
Glasgow House,Eastern Time,ET,GLA,2017-03-10T18:04:07.853,143,
Julia Johnston House,Eastern Time,ET,JJ,2017-03-10T18:04:07.853,150,
Davidson Store,Eastern Time,ET,DS,2017-03-10T18:04:07.853,151,
NEW DORM,Eastern Time,ET,NEWDORM,2017-03-10T18:04:07.853,165,
Wall Academic Center,Eastern Time,ET,WALL,2017-03-10T18:04:07.853,177,
